"Row_ID","Order_ID","Order_Date","Ship_Date","Customer_Name","City","Ship_Mode","Customer_ID","Country","Segment","Sales","State","Postal_Code","Region","Product_ID","Category","Sub_Category","Product_Name"
"1","CA-2017-152156","8/11/2017","11/11/2017","Claire Gute","Henderson","Second Class","CG-12520","United States","Consumer","261.96","Kentucky","42420","South","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase"
"2","CA-2017-152156","8/11/2017","11/11/2017","Claire Gute","Henderson","Second Class","CG-12520","United States","Consumer","731.94","Kentucky","42420","South","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
"3","CA-2017-138688","12/6/2017","16/06/2017","Darrin Van Huff","Los Angeles","Second Class","DV-13045","United States","Corporate","14.62","California","90036","West","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal"
"4","US-2016-108966","11/10/2016","18/10/2016","Sean O Donnel","Fort Lauderdale","Standard Class","SO-20335","United States","Consumer","957.5775","Florida","33311","South","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table"
"5","US-2016-108966","11/10/2016","18/10/2016","Sean O Donnel","Fort Lauderdale","Standard Class","SO-20335","United States","Consumer","22.368","Florida","33311","South","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold N Roll Cart System"
"6","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","48.86","California","90032","West","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
"7","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","7.28","California","90032","West","OFF-AR-10002833","Office Supplies","Art","Newell 322"
"8","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","907.152","California","90032","West","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone"
"9","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","18.504","California","90032","West","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill"
"10","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","114.9","California","90032","West","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge"
"11","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","1706.184","California","90032","West","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables"
"12","CA-2015-115812","9/6/2015","14/06/2015","Brosina Hoffman","Los Angeles","Standard Class","BH-11710","United States","Consumer","911.424","California","90032","West","TEC-PH-10002033","Technology","Phones","Konftel 250 Conference phone - Charcoal black"
"13","CA-2018-114412","15/04/2018","20/04/2018","Andrew Allen","Concord","Standard Class","AA-10480","United States","Consumer","15.552","North Carolina","28027","South","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967"
"14","CA-2017-161389","5/12/2017","10/12/2017","Irene Maddox","Seattle","Standard Class","IM-15070","United States","Consumer","407.976","Washington","98103","West","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine"
"15","US-2016-118983","22/11/2016","26/11/2016","Harold Pawlan","Fort Worth","Standard Class","HP-14815","United States","Home Office","68.81","Texas","76106","Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
"16","US-2016-118983","22/11/2016","26/11/2016","Harold Pawlan","Fort Worth","Standard Class","HP-14815","United States","Home Office","2.544","Texas","76106","Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders"
"17","CA-2015-105893","11/11/2015","18/11/2015","Pete Kriz","Madison","Standard Class","PK-19075","United States","Consumer","665.88","Wisconsin","53711","Central","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36W x 18 1/2D"
"18","CA-2015-167164","13/05/2015","15/05/2015","Alejandro Grove","West Jordan","Second Class","AG-10270","United States","Consumer","55.5","Utah","84084","West","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer"
"19","CA-2015-143336","27/08/2015","1/9/2015","Zuschuss Donatelli","San Francisco","Second Class","ZD-21925","United States","Consumer","8.56","California","94109","West","OFF-AR-10003056","Office Supplies","Art","Newell 341"
